comid,division,province,section
20867042,INTERMONTANE PLATEAUS,BASIN AND RANGE,SACRAMENTO
331416,INTERIOR PLAINS,GREAT PLAINS,EDWARDS PLATEAU
14584331,INTERIOR PLAINS,GREAT PLAINS,"MISSOURI PLATEAU, GLACIATED"
1591985,INTERIOR PLAINS,GREAT PLAINS,COLORADO PIEDMONT
20735873,INTERMONTANE PLATEAUS,COLORADO PLATEAUS,GRAND CANYON
1702586,APPALACHIAN HIGHLANDS,NEW ENGLAND,WHITE MOUNTAIN
1732262,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND
807107,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND
1700514,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND
3319020,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND
19335187,APPALACHIAN HIGHLANDS,NEW ENGLAND,WHITE MOUNTAIN
6710327,APPALACHIAN HIGHLANDS,NEW ENGLAND,WHITE MOUNTAIN
6711747,APPALACHIAN HIGHLANDS,NEW ENGLAND,WHITE MOUNTAIN
5196008,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND
5196352,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND
2676838,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND
2677726,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND
2683264,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND
2674088,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND
6721803,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND
9311911,APPALACHIAN HIGHLANDS,NEW ENGLAND,WHITE MOUNTAIN
6084241,APPALACHIAN HIGHLANDS,NEW ENGLAND,GREEN MOUNTAIN
6089029,APPALACHIAN HIGHLANDS,NEW ENGLAND,GREEN MOUNTAIN
10294664,APPALACHIAN HIGHLANDS,NEW ENGLAND,GREEN MOUNTAIN
10294362,APPALACHIAN HIGHLANDS,NEW ENGLAND,GREEN MOUNTAIN
10295166,APPALACHIAN HIGHLANDS,NEW ENGLAND,GREEN MOUNTAIN
5866821,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND
5879555,ATLANTIC PLAIN,COASTAL PLAIN,EMBAYED
5879121,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND
5879121,ATLANTIC PLAIN,COASTAL PLAIN,EMBAYED
5878731,ATLANTIC PLAIN,COASTAL PLAIN,EMBAYED
5878721,ATLANTIC PLAIN,COASTAL PLAIN,EMBAYED
5879839,ATLANTIC PLAIN,COASTAL PLAIN,EMBAYED
5882389,ATLANTIC PLAIN,COASTAL PLAIN,EMBAYED
6125727,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND
6124073,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND
6125735,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND
7710178,APPALACHIAN HIGHLANDS,NEW ENGLAND,TACONIC
7711874,APPALACHIAN HIGHLANDS,NEW ENGLAND,TACONIC
7709814,APPALACHIAN HIGHLANDS,NEW ENGLAND,TACONIC
7713466,APPALACHIAN HIGHLANDS,NEW ENGLAND,TACONIC
22221671,APPALACHIAN HIGHLANDS,ST. LAWRENCE VALLEY,CHAMPLAIN
22220525,APPALACHIAN HIGHLANDS,ST. LAWRENCE VALLEY,CHAMPLAIN
3247572,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,CATSKILL
6188242,APPALACHIAN HIGHLANDS,NEW ENGLAND,TACONIC
9521281,APPALACHIAN HIGHLANDS,ADIRONDACK,
9521325,APPALACHIAN HIGHLANDS,ST. LAWRENCE VALLEY,CHAMPLAIN
9521333,APPALACHIAN HIGHLANDS,ST. LAWRENCE VALLEY,CHAMPLAIN
22288425,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,HUDSON VALLEY
22288449,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,HUDSON VALLEY
22288307,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,HUDSON VALLEY
22744269,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,HUDSON VALLEY
22741127,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,MOHAWK
22740487,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,MOHAWK
22742351,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,MOHAWK
6211718,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,HUDSON VALLEY
6227590,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND
6249534,APPALACHIAN HIGHLANDS,PIEDMONT,PIEDMONT LOWLANDS
9513514,APPALACHIAN HIGHLANDS,PIEDMONT,PIEDMONT LOWLANDS
6261642,APPALACHIAN HIGHLANDS,PIEDMONT,PIEDMONT LOWLANDS
9513226,APPALACHIAN HIGHLANDS,PIEDMONT,PIEDMONT LOWLANDS
9509812,ATLANTIC PLAIN,COASTAL PLAIN,EMBAYED
9496210,ATLANTIC PLAIN,COASTAL PLAIN,EMBAYED
9496244,ATLANTIC PLAIN,COASTAL PLAIN,EMBAYED
9500182,ATLANTIC PLAIN,COASTAL PLAIN,EMBAYED
9499704,ATLANTIC PLAIN,COASTAL PLAIN,EMBAYED
2613330,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,CATSKILL
1748725,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,CATSKILL
1748593,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,CATSKILL
1748583,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,CATSKILL
4148358,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,SOUTHERN NEW YORK
2591085,APPALACHIAN HIGHLANDS,PIEDMONT,PIEDMONT LOWLANDS
4491954,ATLANTIC PLAIN,COASTAL PLAIN,EMBAYED
4653396,ATLANTIC PLAIN,COASTAL PLAIN,EMBAYED
8118827,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,SOUTHERN NEW YORK
8119205,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,SOUTHERN NEW YORK
4672233,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN
8145174,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN
4710026,APPALACHIAN HIGHLANDS,PIEDMONT,PIEDMONT LOWLANDS
4720775,APPALACHIAN HIGHLANDS,PIEDMONT,PIEDMONT LOWLANDS
4721503,APPALACHIAN HIGHLANDS,PIEDMONT,PIEDMONT LOWLANDS
4764902,ATLANTIC PLAIN,COASTAL PLAIN,EMBAYED
4766726,ATLANTIC PLAIN,COASTAL PLAIN,EMBAYED
11689474,ATLANTIC PLAIN,COASTAL PLAIN,EMBAYED
11908004,ATLANTIC PLAIN,COASTAL PLAIN,EMBAYED
11908360,ATLANTIC PLAIN,COASTAL PLAIN,EMBAYED
8401287,ATLANTIC PLAIN,COASTAL PLAIN,EMBAYED
8430816,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE
